,outcome,model,formula,n_params,r2,cv_rmse
0,obesity,baseline,obesity ~ income,2,0.6965786676393864,2.870767387103102
1,obesity,rfei_linear,obesity ~ rfei,2,0.006370519425815346,5.119238886412712
2,obesity,rfei_quadratic,obesity ~ rfei + I(rfei**2),3,0.03955641569097901,5.043944051214111
3,obesity,access_only_pc,obesity ~ access_pc1,2,0.38877457281440286,4.219347611676715
4,obesity,store_only_pc,obesity ~ store_pc1,2,0.48372083235898256,3.969380790951843
5,obesity,combined_only_pc,obesity ~ combined_pc1,2,0.519544415397152,3.786436671322136
6,obesity,rfei_plus_access_linear,obesity ~ access_pc1 + rfei,3,0.396139728151905,4.317547300818825
7,obesity,rfei_plus_access_quadratic,obesity ~ access_pc1 + rfei + I(rfei**2),4,0.4058888506114393,4.324152589612018
8,obesity,rfei_plus_store_linear,obesity ~ store_pc1 + rfei,3,0.5150062674660612,4.016958283169848
9,obesity,rfei_plus_store_quadratic,obesity ~ store_pc1 + rfei + I(rfei**2),4,0.5155246824416011,4.091549136119073
10,obesity,controls_separate_pc,obesity ~ access_pc1 + store_pc1,3,0.5232104011805927,3.8467590543050987
11,obesity,rfei_plus_separate_linear,obesity ~ access_pc1 + store_pc1 + rfei,4,0.5313593006637377,3.981178313369701
12,obesity,rfei_plus_separate_quadratic,obesity ~ access_pc1 + store_pc1 + rfei + I(rfei**2),5,0.5322519091811908,4.036088754290477
13,obesity,rfei_plus_combined_linear,obesity ~ combined_pc1 + rfei,3,0.5197876023197563,3.942694721340145
14,obesity,rfei_plus_combined_quadratic,obesity ~ combined_pc1 + rfei + I(rfei**2),4,0.5213166153101692,3.9922281121089505
15,obesity,raw_access,obesity ~ no_car_low_access + low_income_low_access + low_access,4,0.6739424201976212,3.2566308261366808
16,obesity,raw_store,obesity ~ convenience + fast_food + grocery + snap + supercenters,6,0.6459849403397048,4.015784014989757
17,obesity,raw_all,obesity ~ no_car_low_access + low_income_low_access + low_access + convenience + fast_food + grocery + snap + supercenters,9,0.8357715737448964,3.240951609825154
18,diabetes,baseline,diabetes ~ income,2,0.4658236991966537,1.4629899464119833
19,diabetes,rfei_linear,diabetes ~ rfei,2,0.00451052078783698,1.9922300620443856
